CustomerID,Name,Email,Region
1,Donald Ramirez,zbaker@gmail.com,West
2,Destiny Murray,lindawagner@gmail.com,West
3,Juan Farley,lisa56@hotmail.com,West
4,John Sanders,zjordan@marshall.com,East
5,Benjamin Johnson,tamaramorris@gmail.com,East
6,Tommy Wallace,edwardtaylor@williams.com,West
7,Taylor Watts,uhenry@warren.net,East
8,Casey Benson,judy65@mendoza.net,East
9,Andrea Black,xgoodman@johnson-hall.com,West
10,Henry Stewart,tmendoza@green.com,South
11,Charles Riley,megan44@gmail.com,West
12,Melissa Tyler,leahdawson@gmail.com,West
13,Brian Smith,johnathansmith@yahoo.com,East
14,Ruth Reilly,alex70@johnson.com,South
15,Jodi Jordan,crystalknapp@monroe.com,East
16,Kevin Diaz,kristina08@collins.biz,East
17,Daniel Ingram,jameswalker@gmail.com,North
18,Mrs. Kara Torres,mpatrick@yahoo.com,West
19,Kelly Jordan,cpeterson@hotmail.com,East
20,Nancy Hernandez,vanceandrew@garza.info,South
21,Henry Marshall,melissa55@montes-reynolds.info,West
22,James Gallegos,trannicholas@bradford.com,North
23,Stephanie Campbell,irose@yahoo.com,East
24,Mary Guzman,qgreen@gmail.com,South
25,Terry Gonzalez,nicoleroberts@rodriguez.biz,East
26,Megan Daniels,sandra02@hobbs.com,North
27,Robert Good,barkerjessica@malone.com,East
28,Christopher Rodriguez,ijarvis@gmail.com,West
29,Matthew Lewis,mcintoshjames@hotmail.com,West
30,Sarah Jones,fwest@sherman.com,West
31,Gail Fields,matthew30@sherman.biz,East
32,Claudia Johnson,kathymartinez@melendez.com,South
33,Michael Peterson,fernandezolivia@hill-sanchez.com,West
34,Cole Harris,acrane@hotmail.com,North
35,Heidi Turner,darnold@hotmail.com,West
36,Austin Washington,vhamilton@gmail.com,West
37,Albert Wilson,zcaldwell@wilson-davenport.com,West
38,Mark Parsons,phurley@hotmail.com,West
39,Sean Banks,bobbybrown@johnson-lutz.net,North
40,Denise Valenzuela,mitchellkim@hotmail.com,South
41,Kari Davis,cherrydiana@york.biz,West
42,Erica Russell,barretterik@sanders.info,South
43,Donna Tyler,christina08@mitchell-evans.net,North
44,Michele Mitchell,joseph75@gmail.com,South
45,Kristen Miller,timothyjimenez@hotmail.com,North
46,Scott Potter Jr.,alexfrederick@hotmail.com,East
47,Lori Henry,angelagonzales@yahoo.com,South
48,Kevin Huang,parkeramber@nichols.biz,East
49,Charles Moses,woodstacey@lambert.info,West
50,Ricky Singh,davidholloway@yahoo.com,West
